aftermath,alliance,assassins,battle_details,branches,capital,casualties,christian_element,commanders,confederation,controversy,economy,genealogy,historical_note,history,internal_division,key,key_battle,key_event,key_figures,language,leader_claim,loyal_leader,main_settlement,military_strength,name_ei3,notable_event,notable_members,note,outcome,population,pre_islamic,pre_islamic_note,reason_loyal,region,religion,ridda_leader,ridda_leaders,ridda_role,ridda_status,role_in_ridda,scholarly_note,siege_details,sources,sub_clans,sub_tribes,territory
Submitted; many joined futūḥāt; tribe remained in Yamāma,,,Fierce resistance; 'Garden of Death' last stand,,,Heavy on both sides; ~700 Muslim ḥuffāẓ killed,,,ʿAdnān (Rabīʿa branch),,"Agriculture (date palms, grains), trade routes",Ḥanīfa → Lujaym → Ṣaʿb → ʿAlī → Bakr → Wāʾil → Rabīʿa,,,,banu_hanifa,ʿAqrabāʾ (12 AH),,,,Prophet receiving waḥy (revelation); composed rival 'Quran',,"Ḥajr (later al-Yamāma, now al-Riyadh area)",Largest rebel force; well-organized agricultural base,Banū Ḥanīfa,,Musaylima ibn Ḥabīb | Mujjāʿa ibn Murāra | Rajjāl ibn ʿUnfuwa,,Defeated after bloodiest battle of Ridda Wars,"Large - dominant tribe of al-Yamāma; ~40,000 warriors claimed",Pagan; some Christian influence in region,,,al-Yamāma,,Musaylima ibn Ḥabīb (al-Kadhdhāb),,Main opposition - followed Musaylima's prophetic movement,,,Represents most serious alternative to Islam in Arabia,,EI2: Ḥanīfa | Kister 1986: Struggle against Musaylima | Donner 1981: Ch. 4,,,
"Tribe submitted; Ṭulayḥa later converted, died at Nihāwand as Muslim","Allied with Ghaṭafān, elements of Ṭayyiʾ",,,,,,,,"ʿAdnān (Muḍar branch, Khindif)",,"Pastoralism, raiding",Asad → Khuzayma → Mudrika → Ilyās → Muḍar → Nizār → ʿAdnān,,,,banu_asad,Buzākha (11 AH),,,,Prophet receiving revelation from Dhū l-Nūn,,,,Banū Asad,,Ṭulayḥa ibn Khuwaylid | Ḍirār ibn al-Azwar,,Defeated; Ṭulayḥa fled to Syria,,Mostly pagan; some interaction with Christians,,,Najd (northern),,Ṭulayḥa ibn Khuwaylid al-Asadī,,Followed Ṭulayḥa ibn Khuwaylid's prophetic movement,,,,,EI2: Asad | Donner 1981: Ch. 3,,,Between Ṭayyiʾ mountains and al-Yamāma
ʿUmar investigated Khālid; Tamīm important in futūḥāt,,,,,,,,,ʿAdnān (Muḍar branch),Mālik's status as rebel vs. loyal Muslim hotly debated,"Pastoralism, some agriculture",Tamīm → Murr → Udd → Ṭābikha → Ilyās → Muḍar → Nizār,,,Yarbūʿ branch under Mālik; others under various chiefs,banu_tamim,,Execution of Mālik ibn Nuwayra by Khālid at al-Buṭāḥ,,,,,,,Banū Tamīm,,Mālik ibn Nuwayra | Sajāḥ bint al-Ḥārith | al-Aqraʿ ibn Ḥābis | al-Aḥnaf ibn Qays | al-Qaʿqāʿ ibn ʿAmr,,Pacified; Mālik executed (controversial),Very large - one of the largest Arabian tribes,Mostly pagan; noted for poetry and oratory,,,Najd (central) / al-Yamāma borders,,,Mālik ibn Nuwayra (zakāt refusal) | Sajāḥ bint al-Ḥārith (prophetess),"Divided - some withheld zakāt, some followed Sajāḥ",,,Mālik case is most controversial incident of Ridda Wars,,EI2: Tamīm | Donner 1981: 110-115,,Banū Yarbūʿ | Banū Mujāshiʿ | Banū Saʿd | Banū Ḥanẓala | Banū ʿAmr,al-Dahna desert and surrounding areas
Submitted; ʿUyayna captured then pardoned by Abū Bakr,,,,,,,,,"ʿAdnān (Qays ʿAylān branch, Muḍar)",,"Pastoralism, raiding, some agriculture at oases",Ghaṭafān → Saʿd → Qays ʿAylān → Muḍar → Nizār,,,,ghatafan,Buzākha (11 AH),,,,,,,,Ghaṭafān,,ʿUyayna ibn Ḥiṣn | al-Ḥārith ibn ʿAwf,,Defeated alongside Banū Asad,,Hostile to Prophet; participated in siege of Medina (Khandaq),Previously major opponents of Islam,,Najd (western/northern),,ʿUyayna ibn Ḥiṣn al-Fazārī (chief of Fazāra),,Allied with Ṭulayḥa and Banū Asad,,,,,EI2: Ghaṭafān | Donner 1981: 101-110,,Fazāra | ʿAbs | Dhubyān | Ashjaʿ,Between Khaybar and Fadak; north of Medina
Remained loyal; major participants in futūḥāt (especially North Africa),,,,,,,,,"ʿAdnān (Qays ʿAylān branch, Muḍar)",,,Sulaym → Manṣūr → ʿIkrima → Qays ʿAylān → Muḍar,,,,banu_sulaym,,,,,,,,,Banū Sulaym,,,,Submitted without major fighting,,Some early converts; participated in later expeditions,,,Najd (western) / Ḥijāz borders,,,,Brief wavering; returned quickly without major conflict,,,,,EI2: Sulaym,,,East of Medina toward Najd
,,,,,,,,,ʿAdnān (Hawāzin branch),,,ʿĀmir → Ṣaʿṣaʿa → Muʿāwiya → Bakr → Hawāzin,,,,banu_amir,,,,,,,,,Banū ʿĀmir ibn Ṣaʿṣaʿa,,,,"Mixed - some fighting, some peaceful submission",Large confederation,,,,Najd (southern),,,,"Divided - some sections rebelled, others remained loyal",,,,,EI2: ʿĀmir b. Ṣaʿṣaʿa,,Banū Kilāb | Banū Numayr | Banū Hilāl | Banū Kaʿb,Between Najd and al-Yamāma
al-Ashʿath pardoned; married Abū Bakr's sister; led Muslim forces later,,,,,,,,,Qaḥṭān,,"Trade, agriculture, connections to Yemen",Kinda → Thawr → ʿUfayr → ʿAdī → al-Ḥārith → Kahlān,,Pre-Islamic kingdom in Najd (5th-6th century CE); Imruʾ al-Qays the poet was Kindī,,kinda,Siege of al-Nujayr fortress (12 AH),,,,,,Ḥaḍramawt region,,Kinda,,al-Ashʿath ibn Qays | Imruʾ al-Qays (pre-Islamic poet-king),,Defeated; al-Ashʿath captured trying to escape,,,,,Ḥaḍramawt / Central Arabia,,al-Ashʿath ibn Qays al-Kindī,,Major rebellion under al-Ashʿath ibn Qays,,,al-Ashʿath's rehabilitation shows Abū Bakr's reconciliation policy,Prolonged siege; al-Ashʿath attempted treacherous surrender,EI2: Kinda | Shoufani 1972 | Donner 1981: 140-145,,,
Submitted; Azd became important in Basra and Iraq,,,,"{'name': 'Azd ʿUmān', 'location': 'Oman', 'ridda': 'Rebelled under Laqīṭ'} | {'name': 'Azd Shanūʾa', 'location': 'Sarāt mountains', 'ridda': 'Various'} | {'name': 'Azd al-Sarāt', 'location': 'Yemen highlands', 'ridda': 'Various'}",,,,,Qaḥṭān (Kahlān branch),,,Azd → al-Ghawth → Nabt → Mālik → Zayd → Kahlān → Sabāʾ,,Major South Arabian tribe with widespread diaspora,,azd,Battle of Dibā (11-12 AH),,,,Restored pre-Islamic kingship (not prophetic claim),,,,al-Azd,,Laqīṭ ibn Mālik | al-Muhallab ibn Abī Ṣufra (later),,Defeated; Laqīṭ killed at Dibā,,,,,"Oman, Yemen, scattered throughout Arabia",,Laqīṭ ibn Mālik Dhū l-Tāj,,"Oman branch followed Laqīṭ ibn Mālik (kingship claim, not prophecy)",,,,,EI2: Azd | Donner 1981,,,
"Major participants in conquest of Iraq (Qādisiyya, etc.)",,"Qays ibn Makshūḥ, Fīrūz al-Daylamī, others",,,,,,,Qaḥṭān (Kahlān branch),,,Madhḥij → Mālik → Udad → Zayd → Kahlān,,,,madhij,,Assassination of al-Aswad in Ṣanʿāʾ before main campaigns,,,Prophet (Dhū l-Khimār - 'of the Veil'),,,,Madhḥij,,al-Aswad al-ʿAnsī | Qays ibn Makshūḥ | ʿAmr ibn Maʿdīkarib,,al-Aswad killed; tribes gradually returned to Islam,Major Yemeni confederation,,,,Yemen (highlands and lowlands),,al-Aswad al-ʿAnsī (from ʿAns),,ʿAns branch followed al-Aswad; other branches divided,,,,,EI2: Madhḥidj,,"{'name': 'ʿAns', 'ridda_role': 'Followed al-Aswad al-ʿAnsī'} | {'name': 'Murād', 'ridda_role': 'Participated in assassination of al-Aswad'} | {'name': 'Saʿd al-ʿAshīra', 'ridda_role': 'Mixed loyalties'} | {'name': 'al-Ḥārith', 'ridda_role': 'Various'}",
,,,,,Ẓafār,,,,Qaḥṭān,,"Agriculture (terraces), frankincense trade",Ḥimyar → Sabāʾ → Yashjub → Yaʿrub → Qaḥṭān,,Ancient South Arabian kingdom; ruled Yemen pre-Islam; Jewish period (Dhū Nuwās),,himyar,,,,,,,,,Ḥimyar,,,,Mixed - submitted after al-Aswad's death,,Kingdom collapsed ~570s; Persian/Abyssinian interventions,,,Yemen (southern highlands),,,,Some factions supported al-Aswad; complex local politics,,,,,EI2: Ḥimyar,,,
