event_id,source,source_name,tribe_arabic,tribe_english,region_arabic,region_english,region_key,lat,lon,year_ah,incorporation_mode,commander_arabic,commander_english,rebel_leader_arabic,rebel_leader_english,battle_site_arabic,battle_site_english,confidence,notes,evidence,cross_refs,is_cross_ref
T001,tabari,al-Ṭabarī,مذحج,Madḥij,اليمن,al-Yaman,yaman,15.35,44.2,11,SUBMISSION,عامر بن شهر الهمداني,ʿĀmir ibn Shahr al-Hamdānī,الأسود العنسي,al-Aswad al-ʿAnsī,,,0.85,Madḥij initially supported al-Aswad but ʿĀmir ibn Shahr opposed him,أول من اعترض على العنسي وكاثره عامر بن شهر الهمداني في ناحيته | طابقه عوام مذحج,,False
T002,tabari,al-Ṭabarī,عك,ʿAkk,تهامة,Tihāma,tihama,14.8,43.3,11,SUBMISSION,,,الأسود العنسي,al-Aswad al-ʿAnsī,,,0.8,Tribe of ʿAkk opposed al-Aswad al-ʿAnsī,وعك بتهامة معترضون عليه,,False
T003,tabari,al-Ṭabarī,همدان,Hamdān,اليمن,al-Yaman,yaman,15.35,44.21,11,MIXED,عامر بن شهر,ʿĀmir ibn Shahr,الأسود العنسي,al-Aswad al-ʿAnsī,صنعاء,Ṣanʿāʾ,0.9,Hamdānī chiefs opposed al-Aswad and offered support to Muslim resistance,جاءنا اعتراض عامر ابن شهر وذي زود وذي مران وذي الكلاع وذي ظليم عليه | وكاتبونا وبذلوا لنا النصر,,False
T004,tabari,al-Ṭabarī,حمير,Ḥimyar,اليمن,al-Yaman,yaman,15.35,44.2,11,SUBMISSION,,,الأسود العنسي,al-Aswad al-ʿAnsī,,,0.75,Ḥimyarī tribes were being contacted for resistance against al-Aswad,وعجلنا عن مراسلة الهمدانيين والحميريين,,False
T005,tabari,al-Ṭabarī,مراد,Murād,اليمن,al-Yaman,yaman,15.35,44.2,11,SUBJUGATION,قيس بن عبد يغوث المرادي,Qays ibn ʿAbd Yaghūth al-Murādī,الأسود العنسي,al-Aswad al-ʿAnsī,,,0.85,Qays ibn ʿAbd Yaghūth from Murād initially served al-Aswad but later joined the conspiracy to kill him,وكان قواده قيس بن عبد يغوث المرادي | قتلنا الأسود، وعاد أمرنا كما كان,,False
T006,tabari,al-Ṭabarī,بنو العنسي,Banū al-ʿAnsī,اليمن,al-Yaman,yaman,15.35,44.2,11,SUBJUGATION,غير مذكور,not mentioned,الأسود العنسي,al-Aswad al-ʿAnsī,اليمن,al-Yaman,0.9,First war against apostates after Prophet's death,فأول حرب كانت في الردة بعد وفاة النبي(ص) حرب العنسي، وقد كانت حرب العنسي باليمن,,False
T007,tabari,al-Ṭabarī,غطفان,Ghaṭafān,غطفان,Ghaṭafān,najd,26.0,42.0,11,SUBJUGATION,أبو بكر,Abū Bakr,خارجة بن حصن ومنظور بن زبان,Khārija ibn Ḥiṣn wa-Manẓūr ibn Zabān,غطفان,Ghaṭafān,0.95,Early battle in Ridda Wars against Ghaṭafān tribes,ثم حرب خارجة بن حصن ومنظور بن زبان بن سيار في غطفان، والمسلمون غارون | ثم هزم الله المشركين,,False
T008,tabari,al-Ṭabarī,بنو أسد,Banū Asad,سميراء,Samīrāʾ,najd,26.5,42.8,11,SUBJUGATION,غير محدد,not specified,طليحة,Ṭulayḥa,سميراء,Samīrāʾ,0.9,Banū Asad joined the false prophet Ṭulayḥa,واجتمع على طليحة عوام طيئ وأسد | اجتمعت أسد بسميراء,,False
T009,tabari,al-Ṭabarī,طيئ,Ṭayyiʾ,حدود أرضهم,ḥudūd arḍihim,hijaz,24.5,40.0,11,SUBJUGATION,غير محدد,not specified,طليحة,Ṭulayḥa,حدود أرضهم,ḥudūd arḍihim,0.9,Ṭayyiʾ tribe joined Ṭulayḥa's rebellion,واجتمع على طليحة عوام طيئ وأسد | وطيئ على حدود أرضهم,,False
T010,tabari,al-Ṭabarī,فزارة,Fazāra,جنوب طيبة,janūb Ṭayba,hijaz,24.3,39.5,11,SUBJUGATION,غير محدد,not specified,طليحة,Ṭulayḥa,جنوب طيبة,janūb Ṭayba,0.85,Part of Ghaṭafān confederation that rebelled,وفزارة ومن يليهم من غطفان بجنوب طيبة,,False
T011,tabari,al-Ṭabarī,ثعلبة بن سعد,Thaʿlaba ibn Saʿd,الأبرق من الربذة,al-Abraq min al-Rabadha,najd,25.0,42.5,11,SUBJUGATION,أبو بكر,Abū Bakr,الحارث,al-Ḥārith,الأبرق,al-Abraq,0.9,Gathered at al-Abraq and fought against Abū Bakr,واجتمعت ثعلبة بن سعد ومن يليهم من مرة وعبس بالأبرق من الربذة | فقاتلهم قبل رجوع أسامة,,False
